X1,X2,Y
59,54,0
42,29,1
66,78,0
73,10,0
25,41,1
86,88,0
88,83,0
83,73,0
76,70,0
24,95,1
1,79,1
4,70,1
18,58,1
48,76,1
27,37,1
7,66,1
76,28,0
5,93,1
27,73,1
65,14,0
20,92,1
100,57,0
100,26,0
44,97,1
22,88,1
51,34,0
20,53,1
87,47,0
83,4,0
87,62,0
19,78,1
68,11,0
0,36,1
28,46,1
13,82,1
5,11,1
38,1,1
75,14,0
60,53,0
46,35,1
90,52,0
69,72,0
2,39,1
57,11,0
86,58,0
74,13,0
1,26,1
95,14,0
73,47,0
67,92,0
64,12,0
6,91,1
99,89,0
88,47,0
41,81,1
9,9,1
2,21,1
54,83,0
44,0,1
99,39,0
0,77,1
74,80,0
90,71,0
94,36,0
96,24,0
42,1,1
20,18,1
72,3,0
1,15,1
90,59,0
52,100,0
29,87,1
25,80,1
88,9,0
57,28,0
67,4,0
60,44,0
25,22,1
42,11,1
94,29,0
100,67,0
49,62,1
71,21,0
95,12,0
44,73,1
65,93,0
12,42,1
13,16,1
39,68,1
84,44,0
17,84,1
52,7,0
79,51,0
9,13,1
6,43,1
36,70,1
64,79,0
52,53,0
85,10,0
64,12,0
